Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"VIA CARNARO 2, 33170, PORDENONE, PN",01787140936,BONGUSTAIO S.R.L.,UL-4,45.969623,12.680462
"VIA CARNARO 31, 33170, PORDENONE, PN",01405840933,ALL SERVICES SRL,SEDE,45.970006,12.679722
"VIA CARNARO 33, 33170, PORDENONE, PN",01784970939,MARMOINNOVA SRLS,SEDE,45.970068,12.679771
"VIA CARNARO 35, 34145, TRIESTE, TS",00912360328,ITAL LOEWEN S.R.L.,SEDE,45.630597,13.78722
"VIA CARNARO 7, 33170, PORDENONE, PN",04824260261,ENERGY SAVING GROUP S.R.L.,UL-1,45.969417,12.680319
"VIA CARNARO SNC, 34145, TRIESTE, TS",01212460321,VINCE SRL,SEDE,45.632588,13.785723
"VIA CARNIA 1, 33030, RIVE D ARCANO, UD",02347270304,AGILE S.R.L.,SEDE,46.112594,13.003328000000002
"VIA CARNIA 15, 33054, LIGNANO SABBIADORO, UD",01885270304,COSTRUIRE S.R.L.,SEDE,45.690514,13.143425
"VIA CARNIA 15, 33078, SAN VITO AL TAGLIAMENTO, PN",00412260937,CENTRO SERVIZI DOGANALI - S.P.A.,SEDE,45.939617,12.883129
"VIA CARNIA 19, 33052, CERVIGNANO DEL FRIULI, UD",00722190279,NOSELLA DANTE S.P.A.,UL-1,45.83185,13.332455
"VIA CARNIA 2, 33078, SAN VITO AL TAGLIAMENTO, PN",00124040932,MARTONI S.P.A.,SEDE,45.940502,12.887633
"VIA CARNIA 2/A, 33030, MAJANO, UD",02275030233,LIDL ITALIA S.R.L.,UL-15,46.186159,13.061014
"VIA CARNIA 22, 33058, SAN GIORGIO DI NOGARO, UD",02984430302,FABRIS SRL SEMPLIFICATA,SEDE,45.83751,13.20389
"VIA CARNIA 22/2, 33030, MAJANO, UD",02508400302,N.CONSULT S.R.L.,SEDE,46.187426,13.058726
"VIA CARNIA 23, 33052, CERVIGNANO DEL FRIULI, UD",02931360305,ROSINE SRL,SEDE,45.831372,13.332959
"VIA CARNIA 23/A, 33052, CERVIGNANO DEL FRIULI, UD",02922380304,SANTE SRL,SEDE,45.831372,13.332959
"VIA CARNIA 24, 33038, SAN DANIELE DEL FRIULI, UD",01188190308,F.LLI NATOLINO COSTRUZIONI S.R.L.,SEDE,46.157858,13.010011
"VIA CARNIA 25, 33052, CERVIGNANO DEL FRIULI, UD",02269350308,CERVIGNANO GOMME SERVIZI - C.G.S. S.R.L.,SEDE,45.832914,13.331579
"VIA CARNIA 27, 33038, SAN DANIELE DEL FRIULI, UD",02183910302,BRUNO TABOGA SRL,SEDE,46.157858,13.010011
"VIA CARNIA 28, 34170, GORIZIA, GO",00310120316,ATLAS S.R.L.,SEDE,45.937968,13.605461
"VIA CARNIA 29, 33054, LIGNANO SABBIADORO, UD",02146190273,RIRA INIZIATIVE TURISTICHE S.R.L.,SEDE,45.689732,13.144198
"VIA CARNIA 33, 33054, LIGNANO SABBIADORO, UD",00228680930,HOTEL CENTRALE - S.R.L.,SEDE,45.689536,13.144412
"VIA CARNIA 4, 33030, MAJANO, UD",80027670308,ESSE S.R.L.,SEDE,46.187446,13.060208
"VIA CARNIA 50, 33038, SAN DANIELE DEL FRIULI, UD",01933900308,COMMERCIALE COLORI S.R.L.,SEDE,46.157858,13.010011
"VIA CARNIA 6/8/10, 33052, CERVIGNANO DEL FRIULI, UD",02340180302,MASTERCAR   S.R.L.,UL-2,45.830833,13.333218
"VIA CARNIA 6/B, 33085, MANIAGO, PN",01776490938,BOR.MEC. S.R.L.,SEDE,46.162176,12.692904
"VIA CARNIA 62, 33038, SAN DANIELE DEL FRIULI, UD",02905670309,GREEN COLOR SRLS,SEDE,46.157858,13.010011
"VIA CARNIA 7, 33052, CERVIGNANO DEL FRIULI, UD",00434900304,PRONTOAUTO S.P.A.,UL-7,45.83057,13.332993
"VIA CARNIA 8, 33097, SPILIMBERGO, PN",01890280934,L ANFORA DEL GUSTO SRLS - SOCIETA  A RESPONSABILITA  LIMITATA  SEMPLIFICATA,SEDE,46.107884,12.893837
"VIA CARNIA 8/A, 33010, TAVAGNACCO, UD",02590370306,CMI SRL,SEDE,46.098055,13.214844
"VIA CARNIA 9, 33078, SAN VITO AL TAGLIAMENTO, PN",03624060988,NEW ENERGY FVG SRL,SEDE,45.939754,12.885431
"VIA CARNIA- CONDOMINIO CAM ---, 33054, LIGNANO SABBIADORO, UD",02845890306,SPLASH S.R.L.,UL-6,45.689995,13.143752
"VIA CARNIA LIBERA 1944 15, 33028, TOLMEZZO, UD",02780310302,CARNIA DENT S.R.L.,SEDE,46.405453,13.010879
"VIA CARNIA LIBERA 1944 29, 33028, TOLMEZZO, UD",02607290307,100UNO SRL,UL-6,46.405444,13.011297
"VIA CARNIA LIBERA 1944 39, 33028, TOLMEZZO, UD",97103880585,POSTE ITALIANE - SOCIETA  PER AZIONI,UL-132,46.40503,13.0112
"VIA CARNIA LIBERA 1944, 33028, TOLMEZZO, UD",00255950305,SAVAS S.R.L.,UL-4,46.404657,13.011457
"VIA CARNIA LIBERA 41, 33025, OVARO, UD",00272570300,RE.C.MA. S.R.L.,SEDE,46.487656,12.864885
"VIA CARNIA LIBERA 41/2, 33025, OVARO, UD",00272570300,RE.C.MA. S.R.L.,UL-1,46.487656,12.864885
"VIA CARNIA LIBERA 42, 33025, OVARO, UD",01411800301,CIMENTI IMMOBILIARE SRL,SEDE,46.487586,12.865140000000002
"VIA CARNIA LIBERA 60, 33025, OVARO, UD",01662190303,MAZZOLINI ARREDAMENTI S.R.L.,SEDE,46.487806,12.865077
"VIA CARNIA S.N.C., 33052, CERVIGNANO DEL FRIULI, UD",02471830352,OSIRIDE S.R.L.,UL-1,45.837396,13.327628
"VIA CARNIA S.N.C., 33054, LIGNANO SABBIADORO, UD",04513060279,ITAL 3 S.R.L.,UL-1,45.690258,13.143334
"VIA CARNIA SNC, 33052, CERVIGNANO DEL FRIULI, UD",03147921203,ALSA SOCIETA  A RESPONSABILITA  LIMITATA,UL-1,45.837396,13.327628
"VIA CARNIA Z.I.PONTE ROSSO 8, 33078, SAN VITO AL TAGLIAMENTO, PN",00412260937,CENTRO SERVIZI DOGANALI - S.P.A.,UL-49,45.940393,12.884059
"VIA CARONDA 179, 95128, CATANIA, CT",04006250874,EMCO S.R.L.,SEDE,37.517175,15.084589
"VIA CAROZZANI 15, 30027, SAN DONA  DI PIAVE, VE",03833330263,SVILUPPO 54 S.R.L.,SEDE,45.632989,12.576912
"VIA CARPACCIO 17, 34074, MONFALCONE, GO",01218270310,EcoJulia S.R.L.,SEDE,45.807613,13.517004
"VIA CARPENE  1, 33070, BRUGNERA, PN",01474230933,G & G ELETTRONICA S.R.L.,SEDE,45.911992,12.548097
"VIA CARPENE  17, 33087, BRUGNERA, PN",06801640969,HORM ITALIA S.R.L.,UL-1,45.914158,12.551434
"VIA CARPENE  23, 33070, BRUGNERA, PN",01633040934,VALENEXT SRL,SEDE,45.913443,12.553778
"VIA CARPENETO 1, 33030, CAMPOFORMIDO, UD",02077970305,EDILFER S.R.L.,SEDE,46.01926,13.16491
"VIA CARPINETO 6, 34146, TRIESTE, TS",00693030322,MUGGIA SERVICE S.R.L.,UL-1,45.624763,13.792099
"VIA CARPINETO 8/1, 34146, TRIESTE, TS",01081860320,STUDIO VEGLIACH S.R.L.,SEDE,45.623497,13.781336
"VIA CARPINI 25, 33033, CODROIPO, UD",00858050123,B.F. NO.MI.TEL. SRL,UL-3,45.965773,12.974713
"VIA CARPISON 10, 34122, TRIESTE, TS",00819490327,INTERSERVICE TRIESTE S.R.L.,SEDE,45.651354,13.775008
"VIA CARPISON 10, 34133, TRIESTE, TS",00832980320,LLOYD SOFTWARE S.R.L.,SEDE,45.655322,13.782366
"VIA CARRADORIA 35, 33010, TRASAGHIS, UD",02107150308,EMMEPI DOORS S.R.L. (DA STATUTO ESATTA DENOMINAZIONE CONTIENE TRATTINO DI SOTTOLINEATURA FRA LE PAROLE EMMEPI E DOORS CAUSA PROBLEMA TECNICO NON E  POSSIBILE INSERIMENTO),SEDE,46.282599,13.074516
"VIA CARRARA 250, 16147, GENOVA, GE",01924880998,ERREBI S.R.L.,SEDE,44.39672,8.994631
"VIA CARRARESE 9, 35028, PIOVE DI SACCO, PD",04837670282,PROGETTO 2K14 S.R.L.,SEDE,45.299243,12.03148
"VIA CARRARETTO 3, 30030, PIANIGA, VE",03071930279,GLOBAL INGROSS S.P.A.,SEDE,45.469686,12.007421
"VIA CARRARIA 71, 33043, CIVIDALE DEL FRIULI, UD",02364750303,STUDIO TATEO SRL,SEDE,46.091338,13.443402
"VIA CARROBBIO 15, 21100, VARESE, VA",02541410300,RP BROKER S.R.L.,SEDE,45.816262,8.82582
"VIA CARSIA 38/3, 34151, TRIESTE, TS",01293450324,SINERGIE IMMOBILIARI SRL,SEDE,45.688581,13.775899
"VIA CARSIA 45, 34151, TRIESTE, TS",01053470322,KRALJ S.R.L.,SEDE,45.688346,13.773849
"VIA CARSO 10, 33028, TOLMEZZO, UD",00450840301,CARNIA BETON SRL,SEDE,46.427446,13.054779
"VIA CARSO 12, 33080, ZOPPOLA, PN",02746990304,RI.VE.EL SRL,SEDE,45.948269,12.745295
"VIA CARSO 13, 33054, LIGNANO SABBIADORO, UD",00995140308,HOTEL COLUMBUS S.R.L.,UL-3,45.694766,13.149836
"VIA CARSO 14, 33054, LIGNANO SABBIADORO, UD",02820360309,TENGO CUORE ITALIANO S.R.L.,UL-1,45.694362,13.14942
"VIA CARSO 14, 33080, ZOPPOLA, PN",01767820937,ELETTROSTORE SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,45.948341,12.746198
"VIA CARSO 18, 33080, ZOPPOLA, PN",01708190937,TECNOMARK SRL,UL-2,45.948232,12.745302
"VIA CARSO 2, 33077, SACILE, PN",01700240938,MASPAD ENGINEERING SRL SOCIETA  CON UNICO SOCIO,SEDE,45.950227,12.493889
"VIA CARSO 4/B, 33085, MANIAGO, PN",97103880585,POSTE ITALIANE - SOCIETA  PER AZIONI,UL-47,46.164283,12.685026
"VIA CARSO 45, 33054, LIGNANO SABBIADORO, UD",01579840305,LA CUCINA DI CREMA S.R.L.,SEDE,45.697641,13.152034
"VIA CARTIERA 1, 33013, GEMONA DEL FRIULI, UD",01409090303,CENTRODET S.P.A.,SEDE,46.272425,13.107317
"VIA CARTIERA 20, 33033, CODROIPO, UD",00167170307,SOCIETA  AGRICOLA CARTIERA MANIN S.R.L.,UL-1,45.94578,13.011157
"VIA CARTIERA 20, 33033, UDINE, UD",06068530960,REX CAPITAL S.P.A.,UL-1,46.071067,13.234579
"VIA CARTIERA 26, 33080, PORCIA, PN",01791590936,101 GLOBAL SOLUTION S.R.L.,SEDE,45.959572,12.631061
"VIA CARTIERA 27, 33025, OVARO, UD",00883670150,R.D.M. OVARO S.P.A.,SEDE,46.48189,12.865339999999998
"VIA CARTIERA 3, 33010, OSOPPO, UD",00166750307,S.I.A.T.-SOCIETA  ITALIANA ACCIAI TRAFILATI S.P.A.,UL-2,46.25822,13.078799
"VIA CARTIERA 87, 33080, PORCIA, PN",00066320938,CONCERIA PIETRO PRESOT S.R.L.,SEDE,45.95947,12.63369
"VIA CARTIERA S.N., 33029, VILLA SANTINA, UD",02370120301,COSTRUZIONI E SERVIZI S.R.L.,UL-1,46.4149,12.918875
"VIA CARTIERA SN, 33025, OVARO, UD",11598080155,SERVEL - MERA S.R.L.,UL-2,46.480746,12.866844
"VIA CARTIERA VECCHIA 19, 33077, SACILE, PN",00573990934,MINERARIA SACILESE S.P.A.,UL-5,45.95089,12.505953
"VIA CARTIERA VECCHIA 3, 33077, SACILE, PN",01889820930,J DREAM SRL,SEDE,45.951,12.50622
"VIA CARTIERA VECCHIA 58, 33077, SACILE, PN",01318780309,LIVENZA SERVIZI MOBILITA  S.R.L.,UL-4,45.950558,12.508492
"VIA CARUGATE 19, 135, ROMA, RM",14736311003,MCL RETAIL S.R.L.,SEDE,41.949186,12.39293
"VIA CARVACCO 41, 33010, COLLOREDO DI MONTE ALBANO, UD",02949690305,ALF SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,46.176138,13.130504
"VIA CASA BIANCA 4, 33054, LIGNANO SABBIADORO, UD",01032060939,AGRITUR S.R.L.,UL-2,45.66258,13.080001
"VIA CASABIANCA 1, 33050, PRECENICCO, UD",02984120309,LINEAFLEX S.R.L.,UL-3,45.787604,13.077459
"VIA CASABIANCA 1, 33054, LIGNANO SABBIADORO, UD",02637600301,CASABIANCA RESORT S.R.L.,SEDE,45.66218,13.085061
"VIA CASABIANCA 109, 33054, LIGNANO SABBIADORO, UD",02269400301,EUROPA GROUP RE S.R.L.,UL-1,45.670672,13.070469
"VIA CASABIANCA 11, 33078, SAN VITO AL TAGLIAMENTO, PN",01759120932,FITNESS STUDIO DI FUMAGALLI TONY S.R.L.,UL-1,45.941531,12.871903
"VIA CASABIANCA 5, 33078, SAN VITO AL TAGLIAMENTO, PN",01759120932,FITNESS STUDIO DI FUMAGALLI TONY S.R.L.,SEDE,45.941437,12.870871
"VIA CASABIANCA 6, 33054, LIGNANO SABBIADORO, UD",00748650124,CHERVO  S.P.A.,SEDE,45.668555,13.104086
"VIA CASABIANCA 7, 33078, SAN VITO AL TAGLIAMENTO, PN",01602950931,S.E.M. S.R.L.,SEDE,45.941769,12.871436
"VIA CASABIANCA, 33050, PRECENICCO, UD",00179980263,GOPPION CAFFE  S.P.A.,UL-1,45.787604,13.077459
"VIA CASAGRANDE N.35/5, 33080, SAN QUIRINO, PN",01822530935,TM SERVICE SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,46.060362,12.695329
"VIA CASAI 4, 33082, AZZANO DECIMO, PN",01893130938,MECPOL S.R.L.,SEDE,45.852045,12.683933
"VIA CASALE 33, 43035, FELINO, PR",00854690344,SELVA ALIMENTARI S.P.A.,SEDE,44.662873,10.223856
"VIA CASALI 14/6, 33037, PASIAN DI PRATO, UD",02915720300,NAM SRL,SEDE,46.068729,13.19195
"VIA CASALI 28, 33048, SAN GIOVANNI AL NATISONE, UD",00217260306,DELTA SEDIE S.R.L.,SEDE,45.967635,13.399934
"VIA CASALI 30, 33048, SAN GIOVANNI AL NATISONE, UD",02309250302,FRIULBOX S.R.L.,SEDE,45.967549,13.399956
"VIA CASALI 34, 33048, SAN GIOVANNI AL NATISONE, UD",01613120300,GIACOMINO ZAM0  S.R.L.,SEDE,45.966835,13.401538
"VIA CASALI 38, 33048, SAN GIOVANNI AL NATISONE, UD",05189470288,SEDUTA.IT SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.965805,13.403079
"VIA CASALI 42, 33048, SAN GIOVANNI AL NATISONE, UD",02776450302,CREATION WOOD S.R.L.,UL-1,45.9654,13.40378
"VIA CASALI 48, 33048, SAN GIOVANNI AL NATISONE, UD",00186450318,BABY GIULIA S.R.L.,SEDE,45.965284,13.403291
"VIA CASALI 48/B, 33048, SAN GIOVANNI AL NATISONE, UD",02829660303,CONTRACTIN S.R.L.,UL-2,45.965284,13.403291
"VIA CASALI 52, 33048, SAN GIOVANNI AL NATISONE, UD",01066130319,INN FLEX S.R.L.,SEDE,45.963576,13.40535
"VIA CASALI 60, 33037, PASIAN DI PRATO, UD",01090920198,IMMOBILIARE CASA VIVA S.R.L.,SEDE,46.050127,13.187472
"VIA CASALI 64, 33048, SAN GIOVANNI AL NATISONE, UD",02877350302,NEW LINE SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,45.962244,13.406343
"VIA CASALI BATTIFERRO 16, 33047, REMANZACCO, UD",02903280309,GIOINT S.R.L.,SEDE,46.070016,13.329472
"VIA CASALI BATTIFERRO 26/27, 33047, REMANZACCO, UD",02994560304,DEBONT ITALIA SRL,SEDE,46.070016,13.329472
"VIA CASALI BERINI 28, 33048, SAN GIOVANNI AL NATISONE, UD",04184830612,NUOVA SE.MAD. S.R.L.,UL-1,45.963521,13.40555
"VIA CASALI BERINI 54, 33048, SAN GIOVANNI AL NATISONE, UD",01131690313,SUNBEAM 1 S.R.L.,UL-1,45.963521,13.40555
"VIA CASALI BOSCO 15, 33080, PRATA DI PORDENONE, PN",01533620934,B & Q SRL,UL-1,45.848607,12.567184
"VIA CASALI BOSCO 30, 33080, PRATA DI PORDENONE, PN",01612420933,EDEN EXIT S.R.L.,SEDE,45.849405,12.568137
"VIA CASALI BOSCO 9, 33080, PRATA DI PORDENONE, PN",01533620934,B & Q SRL,SEDE,45.84924,12.56777
"VIA CASALI CECUT 20, 33010, REANA DEL ROJALE, UD",02364290300,RSV SRL,UL-3,46.141874,13.237619
"VIA CASALI ISOLA AUGUSTA 4, 33056, PALAZZOLO DELLO STELLA, UD",01680940937,KONEC S.R.L.,UL-1,45.803508,13.080766
"VIA CASALI LAURINI 7/A, 33040, TORREANO, UD",02822480303,ERIKA SRLS,SEDE,46.140103,13.441288
"VIA CASALI LAVIA 20, 33035, MARTIGNACCO, UD",02594540300,COSEANO IMMOBILIARE S.R.L.,SEDE,46.100575,13.141528
"VIA CASALI LAVIA 58, 33035, MARTIGNACCO, UD",00423270586,SLURRY ITALIA  S.R.L.,SEDE,46.102665,13.141288
"VIA CASALI LEONCINI 16, 33030, BUJA, UD",02862280308,BS CARPENTERIE SRLS,SEDE,46.237609,13.087965
"VIA CASALI LEONCINI 2/C, 33030, BUJA, UD",02319520306,4 EMME SERVICE SRL,SEDE,46.231303,13.085498
"VIA CASALI LEONCINI 5, 33030, BUJA, UD",01699870307,C.M.B. SOLUTIONS S.R.L.,SEDE,46.23012,13.08417
"VIA CASALI LINI 9, 33034, FAGAGNA, UD",02879820302,CASALE CJANOR SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,46.117736,13.08185
"VIA CASALI MISANO 5, 33050, PAVIA DI UDINE, UD",01857680308,SEGHERIA FABBRO S.R.L.,SEDE,45.969768,13.331561
"VIA CASALI NARDON 25, 33050, POCENIA, UD",02912370307,EDIL AGRI S.R.L.,SEDE,45.862877,13.117084
"VIA CASALI NARDON 5, 33050, POCENIA, UD",01910020302,ATE S.R.L.,SEDE,45.862805,13.114805
"VIA CASALI OSELIN 107, 33047, REMANZACCO, UD",01341640769,C.M.C. SUD S.R.L.,UL-1,46.085167,13.321004
"VIA CASALI OSELIN 163, 33100, UDINE, UD",02863580300,OSMES GALLERY SRL,UL-1,46.071974,13.261086
"VIA CASALI PALAZZAT 3, 33033, CODROIPO, UD",00307640292,DE LOTTO LA CEREAL S.R.L.,UL-1,45.95122,12.91826
"VIA CASALI PASCH S.N.C., 33040, PREMARIACCO, UD",02870520307,MUNDA VIS S.R.L.,UL-1,46.057393,13.394197
"VIA CASALI PRA  ANGELI 16, 33080, PRATA DI PORDENONE, PN",01323130938,R.P.G. INTAGLI S.R.L.,SEDE,45.840683,12.561672
"VIA CASALI PRA  ANGELI SNC, 33080, PRATA DI PORDENONE, PN",01692840935,E.D.I.L. S.R.L.,SEDE,45.902015,12.600708
"VIA CASALI SAGREE 13, 33080, PRATA DI PORDENONE, PN",01531280939,ALMA S.R.L.,SEDE,45.883187,12.570346
"VIA CASALI SAGREE 33, 33080, PRATA DI PORDENONE, PN",01791200932,CKIN SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,45.884376,12.568565
"VIA CASALI SN, 33048, SAN GIOVANNI AL NATISONE, UD",02139080309,SISTEMA S.R.L.,UL-2,45.967136,13.404862
"VIA CASALI SNC, 33048, SAN GIOVANNI AL NATISONE, UD",08452770962,OMNIADOC S.P.A.,UL-7,45.963521,13.40555
"VIA CASARSA 100, 33080, ZOPPOLA, PN",01514410933,JESTERLUX S.R.L.,SEDE,45.948022,12.759042
"VIA CASARSA 25, 33030, DIGNANO, UD",02361830306,AXON SRL,SEDE,46.079583,12.938355
"VIA CASARSA 29, 33030, DIGNANO, UD",02912800303,PERESSINI ADRIANO ELETTROTECNICA SRL,SEDE,46.079329,12.93835
"VIA CASARSA 39, 33030, DIGNANO, UD",01532930938,ENIGMA S.R.L.,SEDE,46.079063,12.938248
"VIA CASARSA 47, 33080, ZOPPOLA, PN",01834580936,LETIZIA ESPANOLI GROUP S.R.L.,SEDE,45.965563,12.816722
"VIA CASARSA 57, 33030, DIGNANO, UD",02017480415,BESSER VACUUM S.R.L.,SEDE,46.078191,12.938221
"VIA CASASOLA 72, 33010, CHIUSAFORTE, UD",02941630309,GEFF S.R.L.,UL-11,46.38884,13.474045
"VIA CASASOLA S.N.C., 33010, CHIUSAFORTE, UD",01866870304,I.D.I.R. S.R.L.,UL-1,46.38884,13.474045
"VIA CASASOLA SNC, 33010, CHIUSAFORTE, UD",01866870304,I.D.I.R. S.R.L.,SEDE,46.408839,13.311317
"VIA CASATTE 2, 33098, VALVASONE ARZENE, PN",01334530936,SERVICE LINE S.R.L.,SEDE,45.988638,12.877094
"VIA CASCINA RINALDI 37, 33048, SAN GIOVANNI AL NATISONE, UD",00415830306,S.I.T.T.A. S.R.L.,SEDE,45.975106,13.424687
"VIA CASCINA RINALDI 39, 33048, SAN GIOVANNI AL NATISONE, UD",00216670307,CO. MEC SRL DI BERGAMASCO LUCIO & C.,SEDE,45.975131,13.425047
"VIA CASCINAPIANO 15/B, 43013, LANGHIRANO, PR",02704510342,REFRI GROUP SOCIETA  A RESPONSABILITA  LIMITATA,SEDE,44.627539,10.271841
"VIA CASCINO 2, 34170, GORIZIA, GO",01035520319,BREMA S.R.L.,UL-1,45.941701,13.619199
"VIA CASCINO 22, 34170, GORIZIA, GO",01075150316,DIASPRO S.R.L.,SEDE,45.940966,13.620784
"VIA CASCINO 25, 34170, GORIZIA, GO",01048760316,EDIT S.R.L.,SEDE,45.940975,13.621131
"VIA CASCINO 5/E, 34170, GORIZIA, GO",01172500314,STUDIO GAMMA S.R.L.,UL-1,45.941576,13.619914
"VIA CASCINO 8, 34170, GORIZIA, GO",00158790303,POLICLINICO CITTA  DI UDINE S.P.A. - CASA DI CURA PRIVATA,UL-1,45.941433,13.619746
"VIA CASE NUOVE 63, 33055, MUZZANA DEL TURGNANO, UD",02318610306,RADE S.R.L.,SEDE,45.841687,13.154152
"VIA CASE NUOVE 9, 33055, MUZZANA DEL TURGNANO, UD",02984040309,T&G TRASPORTI S.R.L.,SEDE,45.843908,13.151445
"VIA CASE SPARSE 24, 33050, TERZO D AQUILEIA, UD",00562720300,CA  DEL SOLE SOCIETA  AGRICOLA S.R.L.,UL-1,45.792068,13.329452
"VIA CASE SPARSE 5, 33010, COLLOREDO DI MONTE ALBANO, UD",00664100302,MONDIAL COLOR S.R.L.,UL-1,46.160872,13.134789
"VIA CASE SPARSE BARET SNC, 33027, PAULARO, UD",02869730305,CANAPULO SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,46.538201,13.12126
"VIA CASE SPARSE MORTEGLIANO 2, 33030, TALMASSONS, UD",00321150260,SUPERMERCATI VISOTTO S.R.L.,UL-3,45.930543,13.119952
"VIA CASE SPARSE, 33050, TERZO D AQUILEIA, UD",02360720243,TENUTA CA  BOLANI SOCIETA  AGRICOLA A RESPONSABILITA  LIMITATA FORMA ABBREVIATA TENUTA CA  BOLANI S.A.R.L.,UL-1,45.798952,13.351341
"VIA CASELE 16, 33030, BUJA, UD",01648250932,BUILDFRIUL S.R.L.,UL-3,46.206226,13.141683
"VIA CASELE 6, 33030, BUJA, UD",02980740308,URSELLA1967 SRL,SEDE,46.20845,13.138815
"VIA CASELLO FERROVIARIO 9, 34079, STARANZANO, GO",00981790322,ORO SOCIETA  A RESPONSABILITA  LIMITATA,SEDE,45.806434,13.502128
"VIA CASERMA BORRACE TRAV.PRIV. 19/B, 89124, REGGIO CALABRIA, RC",02773710807,ROJOMA FOOD S.R.L.,SEDE,38.120068,15.659582
"VIA CASERME 33, 33170, PORDENONE, PN",13111961002,ENEL X ITALIA S.R.L.,UL-1,45.970247,12.645121
"VIA CASETTE 44/A, 33079, SESTO AL REGHENA, PN",01887230934,DO.GI. SRLS,SEDE,45.855032,12.877861
"VIA CASILINA VECCHIA 27, 182, ROMA, RM",00665400305,STELE S.R.L.,SEDE,41.88748,12.524034
"VIA CASIMIRO DONADONI 1/B, 34141, TRIESTE, TS",01280650324,TRIESTE SERVIZI 24 S.R.L.S.,SEDE,45.64608,13.7872
"VIA CASIMIRO DONADONI 17, 34141, TRIESTE, TS",01224470326,D.F. HOTEL S SRL,SEDE,45.644668,13.787272
"VIA CASIMIRO DONADONI 22, 34141, TRIESTE, TS",03324520281,DADO S.P.A.,UL-15,45.64444,13.787441
"VIA CASIMIRO DONADONI 35, 34141, TRIESTE, TS",01316930328,VDV SERVIZI S.R.L.,UL-2,45.642975,13.787378
"VIA CASIMIRO MANASSEI, 38, 151, ROMA, RM",00424350585,HARPS - SOCIETA PER AZIONI,SEDE,41.866372,12.441515
"VIA CASINO OLIVA 3, 84036, SALA CONSILINA, SA",04578780654,PENNA GROUP S.R.L.,SEDE,40.401916,15.590802
"VIA CASONI 59, 31029, VITTORIO VENETO, TV",04528410261,CASA HI-TECH SRL,SEDE,45.99822,12.291387
"VIA CASPIGELLO 1, 33030, BUIA, UD",01707560304,CONFARTIGIANATO UDINE SERVIZI S.R.L.,UL-20,46.209635,13.126154
"VIA CASPIGELLO 1, 33030, BUJA, UD",01058530328,CONFARTIGIANATO SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-24,46.209635,13.126154
"VIA CASSA DI RISPARMIO 1, 34121, TRIESTE, TS",01297340323,D CHARME S.R.L.,SEDE,45.65068,13.770262
"VIA CASSA DI RISPARMIO 10, 34121, TRIESTE, TS",01022830325,EVE S.R.L.,UL-1,45.651856,13.770604
"VIA CASSA DI RISPARMIO 11, 34121, TRIESTE, TS",00635350077,CORE INFORMATICA S.R.L.,SEDE,45.651582999999995,13.770734
"VIA CASSA DI RISPARMIO 12, 39100, BOLZANO, BZ",00152980215,CASSA DI RISPARMIO DI BOLZANO S.P.A.,SEDE,46.500297,11.349144
"VIA CASSA DI RISPARMIO 18, 39100, BOLZANO, BZ",02936700216,ALDI S.R.L.,SEDE,46.498823,11.348964
"VIA CASSA DI RISPARMIO 6, 34121, TRIESTE, TS",00600080329,SPINNAKER SRL,SEDE,45.6513,13.770231
"VIA CASSA DI RISPARMIO 7, 34121, TRIESTE, TS",01134540325,VIEZZOLI S.R.L.,SEDE,45.651207,13.770623
"VIA CASSA DI RISPARMIO 9, 34121, TRIESTE, TS",01237640329,VIEZZ S.R.L.,SEDE,45.651364,13.770669
"VIA CASSINIS 72, 33013, GEMONA DEL FRIULI, UD",02849080300,C.S. SRL,SEDE,46.268976,13.131494
"VIA CASTAGNOLE 20/H, 31100, TREVISO, TV",04473040261,OMSAI SRL,SEDE,45.679551,12.205523
"VIA CASTALDI 4, 34137, TRIESTE, TS",00966690323,GEO-SAT PROGETTI S.R.L.,SEDE,45.64522,13.78036
"VIA CASTEL VILSEGG 14, 39042, BRESSANONE, BZ",03096890219,MGK GROUP SRL,SEDE,46.702317,11.658995
"VIA CASTELFIDARDO 14, 33100, UDINE, UD",00576350300,A. TAVANO & C. S.R.L.,SEDE,46.04982,13.23529
"VIA CASTELFRANCO 77/11, 33170, PORDENONE, PN",05086830261,VICKY SRL,UL-1,45.972375,12.63398
"VIA CASTELFRANCO 77/5, 33170, PORDENONE, PN",01345490930,EUROSERVICE MACCHINE UTENSILI S.R.L.,SEDE,45.972368,12.634115
"VIA CASTELFRANCO VENETO 65, 33170, PORDENONE, PN",01871080931,SAFOP S.R.L.,SEDE,45.986165,12.628027
