Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"AREA SCOPERTA ADDOSSATO  EX OF SNC, 34123, TRIESTE, TS",01112650310,B.B.C. SERVICE SRL,UL-1,45.642136,13.756894
"ARRIVO SEGGIOVIA TREMOL 2 SNC, 33081, AVIANO, PN",01702270933,ARNERI SRL,UL-1,46.109364,12.49843
"AURISINA 153 L, 34011, DUINO AURISINA, TS",00553460312,AURORA S.R.L.,UL-1,45.775393,13.602621
"AURISINA CAVE 35/G, 34011, DUINO-AURISINA, TS",01188150328,AURISINA QUARRY S.R.L.,UL-1,45.757888,13.656968
"AURISINA CAVE 57/B, 34011, DUINO AURISINA, TS",01264970326,Q1 INTERNATIONAL S.R.L.,UL-1,45.761155,13.652279
"AURISINA CAVE 78/A, 34011, DUINO-AURISINA, TS",00062810320,ACQUEDOTTO DEL CARSO S.P.A. - KRASKI VODOVOD D.D.,UL-1,45.754462,13.662077
"AURISINA MARE 153, 34011, DUINO AURISINA, TS",01327660328,ALMOST BLUE SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.775393,13.602621
"AUTOPORTO CAPANNONE B ENTRATA 6, 34170, GORIZIA, GO",01737410306,TESAN - TELEVITA S.R.L.,UL-1,45.918152,13.618158
"AUTOPORTO DI FERNETTI S.N., 34016, MONRUPINO, TS",00616000329,DOTTOR DE PALO S.R.L.,UL-8,45.700755,13.825948
"AUTOPORTO DI FERNETTI, 34016, MONRUPINO, TS",01995510300,EUROCAMION 2 - TRASPORTI S.R.L.,UL-1,45.699203,13.823146
"AUTOPORTO DI GORIZIA PAD. B, 34170, GORIZIA, GO",01137480313,NORD COMPOSITES ITALIA S.R.L.,UL-1,45.915873,13.604769
"AUTOPORTO DI GORIZIA PAD.A N.7 P.20/21, 34170, GORIZIA, GO",01142440310,FENIX INTERNATIONAL SRL,UL-1,45.940181,13.620175
"AUTOPORTO DI GORIZIA S.N.C., 34170, GORIZIA, GO",00566630323,TELEVITA - SOCIETA  PER AZIONI,UL-1,45.915873,13.604769
"AUTOPORTO DI GORIZIA SN, 34170, GORIZIA, GO",01190200319,EMMECI SRL,UL-1,45.915873,13.604769
"AUTOPORTO DI GORIZIA, 34170, GORIZIA, GO",00536120314,CEM-TIR ITALIANA S.R.L.,UL-2,45.915873,13.604769
"AUTOPORTO DOGANALE SNC, 33016, PONTEBBA, UD",02850420304,BORDER TRANS SERVICE S.R.L.,UL-1,46.506451,13.306246
"AUTOPORTO S.ANDREA S.N.C., 34170, GORIZIA, GO",00430600312,PEVERE TRASPORTI E SPEDIZIONI S.R.L.,UL-5,45.915873,13.604769
"AUTOPORTO SANT ANDREA, 34170, GORIZIA, GO",00487290314,NEW SYSTEM S.R.L.,UL-1,45.915873,13.604769
"AUTOSTRADA A28 KM29+400, 33070, BRUGNERA, PN",01135950317,FAST EAT ITALY SRL,UL-1,45.941079,12.56187
"AUTOSTRADA A4 VE-TS SNC, 34011, DUINO-AURISINA, TS",01135950317,FAST EAT ITALY SRL,UL-1,45.772055,13.603984
"AVIANO AFB AREA F S.N.C., 33080, ROVEREDO IN PIANO, PN",01699990931,ARCADIA S.R.L.,UL-1,46.025682,12.612113
"BAGNOLI 366, 34018, SAN DORLIGO DELLA VALLE, TS",01072540329,IMPRESA FUNEBRE OPICINA S.R.L.,UL-2,45.602723,13.854955
"BAGNOLI DELLA ROSANDRA 227, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",00836740324,MINGOT EST - S.R.L.,UL-1,45.602723,13.854955
"BAGNOLI DELLA ROSANDRA 227/A, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",00836740324,MINGOT EST - S.R.L.,UL-2,45.602723,13.854955
"BAGNOLI DELLA ROSANDRA 33, 34018, SAN DORLIGO DELLA VALLE, TS",01068110327,FINN-MARINE S.R.L.,UL-1,45.610429,13.848496
"BAGNOLI DELLA ROSANDRA 334, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",00572680320,INTERPORTO DI TRIESTE - S.P.A.,UL-1,45.609179,13.846129
"BAGNOLI DELLA ROSANDRA 334, 34018, SAN DORLIGO DELLA VALLE, TS",02458660301,CARR SERVICE SRL,UL-2,45.609106,13.84607
"BAGNOLI DELLA ROSANDRA 467, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",01347100321,NOVE C S.R.L.,UL-1,45.602723,13.854955
"BAGNOLI DELLA ROSANDRA 601, 34018, SAN DORLIGO DELLA VALLE, TS",01230640326,NUOVA SAN GIUSTO S.R.L.,UL-1,45.610429,13.848496
"BAGNOLI DELLA ROSANDRA 636, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",01003760327,HERVAT S.R.L.,UL-1,45.602723,13.854955
"BAGNOLI DELLA ROSANDRA 64, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",01171780321,GORICA COSTRUZIONI S.R.L.,UL-1,45.614535,13.858834
"BAGNOLI DELLA ROSANDRA, 66, 34018, SAN DORLIGO DELLA VALLE, TS",00946490323,CAMAPEL S.R.L.,UL-1,45.610429,13.848496
"BAIA DI SISTIANA SNC, 34011, DUINO-AURISINA, TS",01183760311,GESTINVEST SISTIANA - SOCIETA  A RESPONSABILITA  LIMITATA,UL-1,45.7708,13.630654
"BASOVIZZA SS 14 KM 169.5, 34149, TRIESTE, TS",14668071005,DRONUS S.P.A.,UL-1,45.6398,13.855094
"BIVIO PARADISO 4, 33050, CASTIONS DI STRADA, UD",01665120307,CHIOSCO PARADISO S.R.L.,UL-1,45.864233,13.16267
"BOLLIUNZ COMUNE NC, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",02047620303,A&T 2000 S.P.A.,UL-1,45.607881,13.856732
"BORGATA SORAVIA ., 33012, SAPPADA, UD",00843810250,FILOMENA SRL,UL-1,46.569423,12.702159
"BORGO AMPIANO 10, 33094, PINZANO AL TAGLIAMENTO, PN",01626720930,ALEOLA S.R.L.,UL-1,46.164366,12.899045
"BORGO AMPIANO 75, 33094, PINZANO AL TAGLIAMENTO, PN",01456650934,DL SERVICES S.R.L.,UL-3,46.183094,12.94559
"BORGO AMPIANO SNC, 33094, PINZANO AL TAGLIAMENTO, PN",01823070931,G.M. COSTRUZIONI S.R.L.,UL-1,46.183094,12.94559
"BORGO AMPIANO, 33094, PINZANO AL TAGLIAMENTO, PN",00290720937,TECNOMEK S.P.A.,UL-3,46.16477,12.898601
"BORGO AQUILEIA 15, 33057, PALMANOVA, UD",02854740301,BRICIOLE DI BONTA  S.R.L.,UL-1,45.903301,13.309657
"BORGO AQUILEIA 17/C, 33057, PALMANOVA, UD",02795520309,LBG CONSULENZE ASSICURATIVE S.R.L.,UL-4,45.902846,13.309976
"BORGO AQUILEIA 2/B, 33057, PALMANOVA, UD",02940320308,IL GALLO ROSSO SRL,UL-2,45.904616,13.310103
"BORGO AQUILEIA 32, 33057, PALMANOVA, UD",02220530303,PREINDL & PAOLONI S.R.L.,UL-2,45.902986,13.309668
"BORGO AVILLA, 33030, BUIA, UD",00167800309,DOLCIARIA PITTINI S.R.L.,UL-1,46.206097,13.110705
"BORGO CASTELLO 11, 34170, GORIZIA, GO",01194560312,IFB SRLS,UL-1,45.942848,13.628091
"BORGO CASTELLO 23, 34170, GORIZIA, GO",01194560312,IFB SRLS,UL-2,45.943354,13.627649
"BORGO CIVIDALE 16, 33057, PALMANOVA, UD",01369030935,CREDIT AGRICOLE FRIULADRIA - SOCIETA  PER AZIONI,UL-41,45.90615,13.311827
"BORGO CIVIDALE 20/B, 33057, PALMANOVA, UD",02217340302,C. & C. S.R.L.,UL-2,45.906316,13.31218
"BORGO CIVIDALE 31, 33057, PALMANOVA, UD",01145570329,JETRENT S.R.L.,UL-5,45.906484,13.313482
"BORGO CIVIDALE 34, 33057, PALMANOVA, UD",02838410302,OTTICA EPIS GIOVANNI S.R.L.,UL-2,45.906646,13.313386
"BORGO GROTTA GIGANTE 42/B, 34010, SGONICO-ZGONIK, TS",00941890329,AVALON - SOCIETA  A RESPONSABILITA  LIMITATA,UL-3,45.736734,13.749002
"BORGO RONCHI 9, 33050, TERZO D AQUILEIA, UD",01462330307,EDILTORRE S.R.L.,UL-3,45.798952,13.351341
"BORGO S. ANTONIO SNC, 33029, VILLA SANTINA, UD",01924790304,PMP PRO - MEC S.P.A.,UL-2,46.413702,12.933025
"BORGO S.M. MADDALENA 2, 34072, GRADISCA D ISONZO, GO",01023220310,ARTIS ARTIGIANATO ISONTINO SERVIZI S.R.L.,UL-2,45.890037,13.494719
"BORGO SANT ANTONIO 13, 33170, PORDENONE, PN",01731650931,DONNA S.R.L.,UL-2,45.957184,12.658108
"BORGO SANTA MARIA MADDALENA 2, 34072, GRADISCA D ISONZO, GO",01176920310,SALONE CHARM S.R.L.,UL-1,45.890037,13.494719
"BORGO TRAMONTINS 1, 33040, FAEDIS, UD",03938010240,WAYOVER SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,46.151083,13.348346
"BORGO UDINE 5, 33057, PALMANOVA, UD",02629630308,A.M.E. ADVANCE MECHATRONICS ENGINEERING S.R.L.,UL-1,45.906101,13.309142
"BORGO VENEZIA SN, 33080, FIUME VENETO, PN",02257300307,KONNER S.R.L. - SOCIETA  UNIPERSONALE,UL-1,45.927436,12.73219
"CALLE ANNUNZIATA 2, 33053, LATISANA, UD",01511280933,ESTIMO S.R.L.,UL-1,45.775991,12.995378
"CALLE ARRIGO 12, 33053, LATISANA, UD",01586310938,SOCIALTEAM SRL,UL-4,45.77762,12.99477
"CALLE CORONA 18, 34072, GRADISCA D ISONZO, GO",00556460319,NITAG S.R.L.,UL-1,45.889042,13.503049
"CALLE CORONA 2, 34072, GRADISCA D ISONZO, GO",00437500317,CAFFARO INDUSTRIE S.P.A.,UL-1,45.889791,13.502557
"CALLE DEI PANCERA 5, 34015, MUGGIA, TS",01281920320,PANE E PIZZA S.R.L.S.,UL-4,45.603415,13.76745
"CALLE DELL ANNUNZIATA 28, 33053, LATISANA, UD",02446640308,DIMORE S.R.L.,UL-1,45.777573,12.995634
"CALLE MONFERA  1, 34073, GRADO, GO",01149700310,SPA.DA S.R.L.,UL-4,45.681774,13.386399
"CALLE MOZART 1, 33054, LIGNANO SABBIADORO, UD",01943290237,MOZART S.R.L.,UL-1,45.661754,13.101886
"CALLE MOZART 16, 33054, LIGNANO SABBIADORO, UD",00681970273,AGENZIA D AFFARI INTERNATIONAL - S.R.L.,UL-3,45.661446,13.102815
"CALLE PORTA PICCOLA 4/6, 34073, GRADO, GO",02812950307,ANDRONA S.R.L.,UL-1,45.681774,13.386399
"CALLE RINALDIS 2, 33078, SAN VITO AL TAGLIAMENTO, PN",01127520938,STUDIO PROFESSIONALE ASSOCIATO S.R.L.,UL-1,45.91395,12.85627
"CALLE TIEPOLO 2, 34015, MUGGIA, TS",00109340323,EDGAR H. GREENHAM & C. - S.R.L.,UL-4,45.604547,13.767066
"CALLE TIEPOLO 9/A, 34015, MUGGIA, TS",01224080323,CAF & SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-5,45.604334,13.76718
"CALLE VERDI 12, 34015, MUGGIA, TS",01281920320,PANE E PIZZA S.R.L.S.,UL-6,45.604144,13.766451
"CALLE ZANINI 11, 34073, GRADO, GO",01015100314,NONSOLOFRUTTA S.R.L.,UL-2,45.681774,13.386399
"CALLE ZANINI 3/5, 34073, GRADO, GO",01223050327,COSTRURISTO GEST SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.681774,13.386399
"CAMPO DEL BELVEDERE 2, 34135, TRIESTE, TS",00932720329,RETE - SOCIETA  A RESPONSABILITA  LIMITATA UNIPERSONALE,UL-12,45.65919,13.773266
"CAMPO MARZIO 22, 33077, SACILE, PN",01742600933,DYSITH SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.95241,12.500607
"CAMPO MARZIO 6/F, 33077, SACILE, PN",01816750937,ARKESI S.R.L.,UL-1,45.952879,12.501001
"CAMPO MARZIO 6S, 33077, SACILE, PN",01897240931,DODO VERACE PIZZA NAPOLETANA S.R.L.,UL-1,45.952632,12.500624
"CAMPO MARZIO, CORTE PELIZZA, 33077, SACILE, PN",01034780930,DA RE S.R.L.,UL-1,45.953336,12.501301
"CAMPO PORTA NUOVA 21, 34073, GRADO, GO",02217340302,C. & C. S.R.L.,UL-1,45.677374,13.384791
"CAMPO SAN GIACOMO 17, 34137, TRIESTE, TS",01266890324,POLIDORI VENDING S.R.L.,UL-3,45.643023,13.778521
"CAMPO SAN GIACOMO 18, 34137, TRIESTE, TS",01106510322,MAIAEXPRESS S.R.L. - UNIPERSONALE,UL-1,45.643316,13.778716
"CAMPO SAN GIACOMO 2, 34137, TRIESTE, TS",01145670327,OTTICA INN AFFARI S.R.L.,UL-2,45.643309,13.779604
"CAMPO SAN GIACOMO 22/B, 34137, TRIESTE, TS",01084910312,ISTITUTO ACUSTICO PONTONI S.R.L.,UL-2,45.643467,13.779036
"CAMPO SAN GIACOMO 4, 34137, TRIESTE, TS",00757840327,INIZIATIVE EDILI COMMERCIALI - SOCIETA  A RESPONSABILITA  LIMITATA,UL-4,45.642919,13.78009
"CAMPO SAN LUIGI 2, 34123, TRIESTE, TS",00659410328,TIMPERI TRIESTE - S. A R.L.,UL-1,45.646508,13.761921
"CAMPO SAN NICETA 1, 34073, GRADO, GO",01149700310,SPA.DA S.R.L.,UL-1,45.677363,13.384151
"CAMPO SAN NICETA 2, 34073, GRADO, GO",01149700310,SPA.DA S.R.L.,UL-2,45.677455,13.38413
"CAMPO SAN NICETA 5, 34073, GRADO, GO",01149700310,SPA.DA S.R.L.,UL-3,45.677363,13.384151
"CANALE PESCHIERA GRANDE SN, 34011, DUINO-AURISINA, TS",01158910313,MIRAMAR SRL,UL-1,45.786005,13.585951
"CANALE VIA IV NOVEMBRE 7, 34170, GORIZIA, GO",03845640048,SAGRADO ENERGIA SRL,UL-1,45.943885,13.59933
"CANALUTTO 54, 33040, FAEDIS, UD",02851990305,SILVA SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,46.1434,13.367663
"CAPO DI PIAZZA BARTOLI 1A, 34121, TRIESTE, TS",01005950322,MC EYE GROUP S.R.L.,UL-4,45.649788,13.769144
"CAPO DI PIAZZA GIANNI BARTOLI 2, 34125, TRIESTE, TS",01122710328,ICE - SOCIETA  A RESPONSABILITA  LIMITATA,UL-3,45.65175,13.781603
"CASALI BRONZAN 1, 33056, PALAZZOLO DELLO STELLA, UD",01457790309,MARINA STELLA S.R.L.,UL-1,45.76925,13.07698
"CASALI MARIANIS 1, 33056, PALAZZOLO DELLO STELLA, UD",01725120933,TENUTA MARIANIS S.R.L. SOCIETA  AGRICOLA,UL-1,45.803508,13.080766
"CASALI SPINGION 3, 33050, MARANO LAGUNARE, UD",01779820305,MOLLUSCHICOLTURA MARANESE SOCIETA  AGRICOLA A RESPONSABILITA  LIMITATA,UL-3,45.765724,13.168044
"CASELLA 64, 34077, RONCHI DEI LEGIONARI, GO",01170030934,S.A.F. - SERVIZI AEREI FRIULGIULIANI S.R.L.,UL-1,45.826644,13.470089
"CATERINA PERCOTO 8, 33100, UDINE, UD",01224080323,CAF & SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-20,46.056618,13.238748
"CAVA DENOM.  GRAVE DI MARSURE, 33081, AVIANO, PN",01275010930,MOZZON DANIELE S.R.L.,UL-2,46.100594,12.592884
"CAVA DI SISTIANA, 34013, DUINO-AURISINA, TS",01053540314,ICATER S.R.L.,UL-1,45.773277,13.640016
"CAVA VALCOLLINA-PORTOCOZZI SNC, 33026, PALUZZA, UD",01866410309,RT CAVE S.R.L.,UL-3,46.529479,13.019768
"CAVE DEL PREDIL SNC, 33018, TARVISIO, UD",02458660301,EURO&PROMOS FM SOCIETA  PER AZIONI IN FORMA ABBREVIATA EURO&PROMOS FM S.P.A.,UL-9,46.442103,13.570913
"CENTRO COMM. ALL INGROS. SET.A 26, 33170, PORDENONE, PN",01630130936,OPGA CREA SRL,UL-2,45.956368,12.661452
"CHIANDARENS SNC, 33024, FORNI DI SOPRA, UD",02990860302,GIAF S.R.L.,UL-1,46.423897,12.57873
"CIRCONVALLAZIONE SUD 44, 33033, CODROIPO, UD",01789930300,TERMONOVA S.P.A.,UL-11,45.955759,12.977989
"COL DEL SOLE 8, 33010, TRASAGHIS, UD",00426770145,GEOPROTECTION S.R.L.,UL-2,46.282599,13.074516
"COMPRENS. EX AUTOPORTO COCCAU SN, 33018, TARVISIO, UD",00978360303,AGOSTINIS LUIGI S.R.L.,UL-4,46.52048,13.612848
"CONTRADA DEL MONTE-ANG.V.MOLIN 15, 33057, PALMANOVA, UD",00185810314,STUDIO 3T S.R.L.,UL-3,45.909424,13.305729
"CONTRADA GRIMANI 1, 33057, PALMANOVA, UD",01224080323,CAF & SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-15,45.905857,13.307302
"CONTRADA VILLACHIARA 20, 33057, PALMANOVA, UD",02750780302,PITTERIO S.R.L.,UL-1,45.903029,13.311026
"CONTRADA VILLACHIARA 22, 33057, PALMANOVA, UD",02659150300,DIEMMEGI SECURITY S.R.L.,UL-1,45.902931,13.311019
"CONTRADA VILLACHIARA 30, 33057, PALMANOVA, UD",01205880311,GESCO SERVIZI S.R.L. - SOCIETA  TRA PROFESSIONISTI,UL-1,45.902596,13.3112
"CORSO ALISEI 9, 33054, LIGNANO SABBIADORO, UD",01825670308,FLAVIA S.R.L.,UL-2,45.670586,13.106767
"CORSO CAVOUR 2/2D, 34132, TRIESTE, TS",00994830321,TCD - TRIESTECITTA  DIGITALE - SOCIETA  A RESPONSABILITA  LIMITATA,UL-1,45.655845,13.77091
"CORSO CAVOUR 3, 34132, TRIESTE, TS",00079760328,ASSICURAZIONI GENERALI SOCIETA  PER AZIONI,UL-38,45.654172,13.769364
"CORSO CAVOUR 3-5-5/A, 34132, TRIESTE, TS",00833240328,BANCA GENERALI - SOCIETA  PER AZIONI O IN FORMA ABBREVIATA: GENERBANCA,UL-48,45.654172,13.769364
"CORSO CAVOUR 4/B, 34132, TRIESTE, TS",01251440325,MIRELLA S.R.L.,UL-1,45.655341,13.770728
"CORSO DEGLI ALISEI 11/A, 33054, LIGNANO SABBIADORO, UD",02083590303,FAX DANCE GROUP S.R.L.,UL-1,45.670976,13.107209
"CORSO DEGLI ALISEI 15, 33054, LIGNANO SABBIADORO, UD",02083590303,FAX DANCE GROUP S.R.L.,UL-2,45.67137,13.107962
"CORSO DEGLI ALISEI 27, 33054, LIGNANO SABBIADORO, UD",01652130939,I SAPORI DEL GRANO S.R.L.,UL-1,45.671782,13.108526
"CORSO DEGLI ALISEI 41, 33054, LIGNANO SABBIADORO, UD",02572360309,FENICE S.R.L.,UL-3,45.672676,13.109705
"CORSO DEGLI ALISEI 63, 33054, LIGNANO SABBIADORO, UD",02743350304,MIRI SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-3,45.673597,13.111444
"CORSO DEI CONTINENTI 163/165, 33054, LIGNANO SABBIADORO, UD",00265610303,OFFSHORE UNIMAR S.R.L.,UL-4,45.652244,13.092642
"CORSO DEL POPOLO 3, 34074, MONFALCONE, GO",01193140314,AMAR S.R.L.,UL-2,45.809647,13.533655
"CORSO DELLE NAZIONI 127, 33054, LIGNANO SABBIADORO, UD",02513230306,RIVIERA SRL,UL-3,45.65188,13.097946
"CORSO DELLE NAZIONI 53/A, 33054, LIGNANO SABBIADORO, UD",02381280268,AFRA S.R.L.,UL-1,45.660787,13.101392
"CORSO DELLE NAZIONI 75/A, 33054, LIGNANO SABBIADORO, UD",00193200300,BAT-S.R.L.,UL-3,45.657743,13.099478
"CORSO DELLE NAZIONI 75/B, 33054, LIGNANO SABBIADORO, UD",00193200300,BAT-S.R.L.,UL-6,45.657743,13.099478
"CORSO DELLE NAZIONI 75/D, 33054, LIGNANO SABBIADORO, UD",00193200300,BAT-S.R.L.,UL-10,45.657743,13.099478
"CORSO DELLE NAZIONI 77, 33054, LIGNANO SABBIADORO, UD",00193200300,BAT-S.R.L.,UL-7,45.657298,13.098827
"CORSO DELLE NAZIONI 79, 33054, LIGNANO SABBIADORO, UD",00193200300,BAT-S.R.L.,UL-8,45.656892,13.098646
"CORSO DELLE NAZIONI 89, 33054, LIGNANO SABBIADORO, UD",02136000300,SALA GIOCHI PONTE ORLANDO S.R.L.,UL-5,45.656009,13.09801
"CORSO DELLE NAZIONI, 33054, LIGNANO SABBIADORO, UD",00193200300,BAT-S.R.L.,UL-2,45.657957,13.099417
"CORSO GARIBALDI 11, 33170, PORDENONE, PN",00599610938,BENSIDER S.R.L.,UL-2,45.959403,12.657525
"CORSO GARIBALDI 11/F, 33170, PORDENONE, PN",01756750939,AZ. AGRICOLA PALCODA SOCIETA  AGRICOLA SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-3,45.959403,12.657525
"CORSO GARIBALDI 13/B, 33170, PORDENONE, PN",01831970932,ATLANTICA SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.959455,12.657498
"CORSO GARIBALDI 13/C, 33170, PORDENONE, PN",01667750937,GABEN S.R.L.,UL-1,45.959455,12.657498
"CORSO GARIBALDI 18/A, 33170, PORDENONE, PN",01651600932,LA NUOVA PANETTERIA S.R.L.,UL-4,45.959752,12.657437
